Rate,Building Type,City,Cost Point Selector,Battery Capacity (kWh),Battery Power (kW),BAU Demand Cost,BAU Energy Cost,Capital Cost ($),Max Demand Rate ($/kW),Npv ($),PV Size (kW),Total Demand Savings ($),Total kWh Savings ($)
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Large Hotel,Seattle,1,0 kWh,0 kW,110902,1413890,$0K,$2.32,$0M,0 kW,0,0
GSEDS-1_Secondary_Non-Demand,Supermarket,Helena,1,0 kWh,0 kW,0,2051790,$297K,$0.00,$0M,539 kW,0,724460
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Hospital,Phoenix,1,0 kWh,0 kW,1016140,6054090,"$1,061K",$6.65,$0M,"1,930 kW",139967,2001800
Schedule_LGD_-_Large_Network_General_Service_(Transformer_Investment_Discount),Hospital,Seattle,1,0 kWh,0 kW,538955,5396450,$0K,$3.83,$0M,0 kW,0,0
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Fast Food,San Francisco,1,0 kWh,0 kW,0,344665,$27K,$0.00,$0M,49 kW,0,120651
GSEDS-1_Primary_Demand,Midrise Apartment,Helena,1,0 kWh,0 kW,43998.1,175342,$16K,$7.90,$0M,28 kW,1122.4,26681
Small_General_Service_Metered_(A10),Large Hotel,Duluth,1,0 kWh,0 kW,0,2113650,$174K,$0.00,$0M,317 kW,0,367420
OGS-TOU-NEM,Secondary School,LasVegas,1,0 kWh,0 kW,0,2155040,$75K,$0.00,$0M,137 kW,0,125650
General_Service_With_Demand_Meter_(Rate_Code_25),Outpatient,Minneapolis,1,0 kWh,0 kW,195433,1136420,$118K,$5.86,$0M,214 kW,12515,198953
BES-Small_Load_Delivery_Class_(Secondary),Fast Food,Chicago,1,0 kWh,0 kW,20614.8,115436,$0K,$6.18,$0M,0 kW,0,0
Power_and_Light_Medium_Schedule_PLM-11,Small Hotel,Atlanta,1,0 kWh,0 kW,0,344981,$0K,$0.00,$0M,0 kW,0,0
Schedule_GS_Type_2_(Secondary),Fast Food,Baltimore,1,0 kWh,0 kW,0,176097,$22K,$0.00,$0M,39 kW,0,46354
Power_and_Light_Medium_Schedule_PLM-11,Restaurant,Atlanta,1,0 kWh,0 kW,0,153356,$0K,$0.00,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Small Hotel,Anaheim,1,61 kWh,20 kW,300092,528117,$103K,$30.87,$0M,143 kW,46804,163613
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Restaurant,San Francisco,1,30 kWh,8 kW,94332.4,354291,$55K,$17.58,$0M,80 kW,19175.1,157981
E-61_Standard_Price_Plan_For_Secondary_Large_General_Service,Hospital,Phoenix,1,0 kWh,0 kW,480950,4903670,$476K,$4.16,$0M,865 kW,40615,762150
BES-Medium_Load_Delivery_Class_(Secondary),Warehouse,Chicago,1,0 kWh,0 kW,43647.5,149727,$0K,$6.29,$0M,0 kW,0,0
A-6_Small_General_Service_TOU_Single_Phase,Strip Mall,San Francisco,1,201 kWh,32 kW,0,1016670,$186K,$0.00,$0M,229 kW,0,720573
GSEDS-1_Secondary_Demand,Large Office,Helena,1,0 kWh,0 kW,1419300,4256430,$412K,$9.41,$0M,749 kW,105380,687990
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,291326,$0K,$2.32,$0M,0 kW,0,0
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Large Hotel,Atlanta,1,0 kWh,0 kW,608504,1445400,$0K,$15.66,$0M,0 kW,0,0
GSEDS-1_Primary_Non-Demand,Small Hotel,Helena,1,0 kWh,0 kW,0,648913,$60K,$0.00,$0M,110 kW,0,128661
E-20_Maximum_demand_of_(1000_KW_or_more)_(Secondary),Secondary School,San Francisco,1,542 kWh,120 kW,1947430,2090720,$726K,$33.72,$0M,985 kW,801160,1090470
GSDT-1_(General_Service_Demand_-Time-Of-Use),Strip Mall,Miami,1,0 kWh,0 kW,179316,310914,$16K,$9.20,$0M,30 kW,11128,18019
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Warehouse,San Francisco,1,16 kWh,7 kW,63818.6,234781,$47K,$16.78,$0M,72 kW,20562.3,105531
Schedule_MDB-_Medium_Standard_General_Service_Burien,Primary School,Seattle,1,0 kWh,0 kW,58053.5,607265,$0K,$2.32,$0M,0 kW,0,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Large Hotel,Atlanta,1,0 kWh,0 kW,0,2035750,$0K,$0.00,$0M,0 kW,0,0
Schedule_MDD_-_Medium_Network_General_Service,Supermarket,Seattle,1,0 kWh,0 kW,164565,1344720,$0K,$4.54,$0M,0 kW,0,0
LGS-1_-_Large_General_Service,Fast Food,LasVegas,1,0 kWh,0 kW,31506.4,111681,$16K,$8.57,$0M,29 kW,427.2,26757.8
Small_General_Service_(A-1)(A),Small Office,Los Angeles,1,0 kWh,0 kW,17925.7,97116.1,$17K,$7.48,$0M,31 kW,3854.7,42244.3
Power_and_Light_Medium_Schedule_PLM-11,Midrise Apartment,Atlanta,1,0 kWh,0 kW,0,123703,$0K,$0.00,$0M,0 kW,0,0
General_Service_With_Demand_Meter_(Rate_Code_25),Large Office,Minneapolis,1,0 kWh,0 kW,946357,4528380,$319K,$5.86,$0M,581 kW,62477,528740
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Fast Food,Atlanta,1,0 kWh,0 kW,38019.5,106175,$0K,$15.66,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Supermarket,Anaheim,1,148 kWh,44 kW,658022,1565130,$366K,$17.81,$0M,560 kW,161610,780598
E-19_Medium_General_Demand_TOU_Option_R_(Secondary_Voluntary),Outpatient,San Francisco,1,211 kWh,53 kW,515539,1652210,$342K,$17.58,$0M,484 kW,166371,920422
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Fast Food,Anaheim,1,5 kWh,2 kW,33996.1,188865,$27K,$9.97,$0M,45 kW,5195.4,79116
Schedule_MDE-_Medium_Standard_General_Service_SeaTac,Primary School,Seattle,1,0 kWh,0 kW,58053.5,628528,$0K,$2.32,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_B_(2kv-50kv),Supermarket,Anaheim,1,154 kWh,47 kW,917052,1321010,$353K,$34.91,$0M,531 kW,252321,578444
BES-Medium_Load_Delivery_Class_(Secondary),Fast Food,Chicago,1,0 kWh,0 kW,20981.7,115436,$0K,$6.29,$0M,0 kW,0,0
GSEDS-1_Secondary_Non-Demand,Primary School,Helena,1,0 kWh,0 kW,0,1036240,$145K,$0.00,$0M,263 kW,0,310419
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Restaurant,Atlanta,1,0 kWh,0 kW,0,265670,$0K,$0.00,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Small Hotel,Minneapolis,1,0 kWh,0 kW,0,446713,$0K,$7.55,$0M,0 kW,0,0
GSLD-1_(General_Service_Large_Demand),Hospital,Miami,1,0 kWh,0 kW,2155810,4078380,$0K,$12.56,$0M,0 kW,0,0
E-36_Standard_Price_Plan_for_General_Service,Fast Food,Phoenix,1,0 kWh,0 kW,19111.3,129780,$21K,$6.76,$0M,38 kW,628.3,38467.9
Schedule_MDC_-_Medium_Standard_General_Service_City,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,837180,$0K,$2.32,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Strip Mall,Minneapolis,1,0 kWh,0 kW,0,295036,$0K,$7.55,$0M,0 kW,0,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Supermarket,Seattle,1,0 kWh,0 kW,84094.8,1154010,$0K,$2.32,$0M,0 kW,0,0
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Retail Store,Boulder,1,1 kWh,1 kW,216125,162045,$1K,$18.90,$0M,1 kW,1931,436
GSEDS-1_Secondary_Non-Demand,Retail Store,Helena,1,0 kWh,0 kW,0,557393,$95K,$0.00,$0M,174 kW,0,232074
Small_General_Service_Metered_(A10),Warehouse,Duluth,1,0 kWh,0 kW,0,240773,$26K,$0.00,$0M,47 kW,0,49208
BES-Large_Load_Delivery_Class_(Secondary),Primary School,Chicago,1,0 kWh,0 kW,193662,636797,$10K,$6.73,$0M,18 kW,3795,13859
GSD-1_(General_Service_Demand),Small Office,Miami,1,0 kWh,0 kW,30077.7,48173,$1K,$10.60,$0M,2 kW,656.7,1187.7
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Hospital,Boulder,1,10 kWh,8 kW,2573110,2661400,$7K,$18.90,$0M,0 kW,12100,60
GSEDS-1_Primary_Non-Demand,Fast Food,Helena,1,0 kWh,0 kW,0,165276,$21K,$0.00,$0M,38 kW,0,44927
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Large Office,New York,1,941 kWh,284 kW,5300040,5793530,"$1,713K",$41.95,$1M,"2,444 kW",1630530,2323730
Time-Of-Use_-_General_Service_-_Large_TOU-8_Option_B_(under_2_kV),Warehouse,Anaheim,1,33 kWh,11 kW,123807,130793,$55K,$38.02,$0M,75 kW,55172.8,70825.7
Schedule_G_-_Secondary,Supermarket,Baltimore,1,0 kWh,0 kW,0,2198960,$310K,$0.00,$0M,563 kW,0,747200
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Retail Store,Seattle,1,0 kWh,0 kW,25852.3,290537,$0K,$2.32,$0M,0 kW,0,0
General_Service_(A14),Large Hotel,Duluth,1,0 kWh,0 kW,608578,1181300,$0K,$14.98,$0M,0 kW,0,0
Schedule_GL_(Secondary_Voltage),Retail Store,Baltimore,1,0 kWh,0 kW,81945,376143,$67K,$6.15,$0M,123 kW,8162.1,116525
GS-2_(S)_Large_General_Service_Secondary,Secondary School,Fairbanks,1,7 kWh,5 kW,632490,3773810,$438K,$11.06,$0M,788 kW,70833,998300
GSEDS-1_Secondary_Demand,Warehouse,Helena,1,0 kWh,0 kW,63736.7,178856,$18K,$9.41,$0M,33 kW,4691.9,28974
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Supermarket,Atlanta,1,0 kWh,0 kW,454779,1155560,$20K,$15.66,$0M,36 kW,11576,23580
BES-Medium_Load_Delivery_Class_(Secondary),Hospital,Chicago,1,0 kWh,0 kW,958188,5216790,$0K,$6.29,$0M,0 kW,0,0
E-36_Standard_Price_Plan_for_General_Service,Warehouse,Phoenix,1,0 kWh,0 kW,34339.7,145100,$19K,$6.76,$0M,35 kW,4744.2,31252
BES-Large_Load_Delivery_Class_(Secondary),Fast Food,Chicago,1,0 kWh,0 kW,22449.4,115436,$0K,$6.73,$0M,0 kW,0,0
BES-Medium_Load_Delivery_Class_(Secondary),Retail Store,Chicago,1,0 kWh,0 kW,81789.6,312438,$0K,$6.29,$0M,0 kW,0,0
GSDT-1_(General_Service_Demand_-Time-Of-Use),Warehouse,Miami,1,0 kWh,0 kW,62506.2,90616.5,$1K,$9.20,$0M,2 kW,807.4,1391.6
BES-Large_Load_Delivery_Class_(Secondary),Large Office,Chicago,1,0 kWh,0 kW,1115840,3877110,$0K,$6.73,$0M,0 kW,0,0
GSD-1_(General_Service_Demand),Supermarket,Miami,1,0 kWh,0 kW,452654,1005960,$21K,$10.60,$0M,39 kW,17341,24152
Time-of-use_-_General_Service_-_Demand_Metered-Super_Off_Peak_TOU-GS-3-SOP_(2kv-50kv),Supermarket,Anaheim,1,143 kWh,44 kW,910780,1154970,$339K,$36.38,$0M,514 kW,252100,496429
GSEDS-1_Primary_Demand,Strip Mall,Helena,1,0 kWh,0 kW,96703.3,349417,$68K,$7.90,$0M,123 kW,9774.3,114494
GS-2_(S)_Large_General_Service_Secondary,Hospital,Fairbanks,1,5 kWh,4 kW,1554790,12713300,"$1,287K",$11.06,$1M,"2,336 kW",121850,3287880
LGS-2_Large_General_Service-_Secondary_Distribution_Voltage,Supermarket,LasVegas,1,0 kWh,0 kW,379646,994666,$117K,$16.49,$0M,213 kW,34809,179941
BES-Small_Load_Delivery_Class_(Secondary),Midrise Apartment,Chicago,1,0 kWh,0 kW,37432.9,161657,$0K,$6.18,$0M,0 kW,0,0
General_Service_(A14),Secondary School,Duluth,1,0 kWh,0 kW,829674,1235180,$40K,$14.98,$0M,72 kW,25121,48690
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Supermarket,San Francisco,1,176 kWh,50 kW,471299,2348400,$384K,$16.78,$0M,576 kW,138017,1087830
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Medium Office,Anaheim,1,120 kWh,42 kW,405626,732000,$227K,$17.81,$0M,322 kW,130328,412948
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Small Office,San Francisco,1,24 kWh,6 kW,59611.5,73476.3,$28K,$34.72,$0M,34 kW,29420.9,41427.8
LGS-1_-_Large_General_Service,Warehouse,LasVegas,1,0 kWh,0 kW,59926.1,127138,$16K,$8.57,$0M,30 kW,4938.6,24870
General_Service_(A14),Retail Store,Duluth,1,0 kWh,0 kW,157689,281874,$3K,$14.98,$0M,5 kW,1322,3229
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Strip Mall,Boulder,1,1 kWh,1 kW,211746,159080,$2K,$18.90,$0M,2 kW,2292,879
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Primary School,Boulder,1,5 kWh,4 kW,473343,327273,$24K,$18.90,$0M,36 kW,26921,17402
E-19_Medium_General_Demand_TOU_Option_R_(Secondary),Large Hotel,San Francisco,1,505 kWh,119 kW,804572,2429340,$464K,$17.58,$0M,523 kW,209496,1028570
3B_General_Power_TOU_(PNM-Owned_Transformer),Outpatient,Albuquerque,1,39 kWh,31 kW,444772,896443,$226K,$17.47,$0M,360 kW,113195,351140
E-36_Standard_Price_Plan_for_General_Service,Outpatient,Phoenix,1,0 kWh,0 kW,200751,1110710,$199K,$6.76,$0M,362 kW,32781,351751
GS-2_(S)_Large_General_Service_Secondary,Primary School,Fairbanks,1,4 kWh,3 kW,253207,1587120,$181K,$11.06,$0M,324 kW,31033,414890
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Retail Store,Anaheim,1,60 kWh,18 kW,170539,498369,$127K,$13.20,$0M,188 kW,54663,296961
GS-2_(S)_Large_General_Service_Secondary,Strip Mall,Fairbanks,1,0 kWh,0 kW,135849,877801,$115K,$11.06,$0M,209 kW,11961,292964
GSEDS-1_Secondary_Demand,Strip Mall,Helena,1,0 kWh,0 kW,115225,356993,$71K,$9.41,$0M,129 kW,12012,121866
General_Service_With_Demand_Meter_(Rate_Code_25),Midrise Apartment,Minneapolis,1,0 kWh,0 kW,36661.7,191989,$15K,$5.86,$0M,27 kW,439.1,25178
Schedule_MDT-Medium_Standard_General_Service_Tukwila,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,559841,$0K,$2.32,$0M,0 kW,0,0
Time_of_Use_General_Service_Demand_Metered_Option_A_GS-2_TOU_A_Single_Phase,Midrise Apartment,Anaheim,1,31 kWh,8 kW,71504.3,228402,$43K,$13.20,$0M,57 kW,14204.6,90075
BES-Medium_Load_Delivery_Class_(Secondary),Secondary School,Chicago,1,0 kWh,0 kW,524032,1563540,$58K,$6.29,$0M,106 kW,19406,79370
A-6_Small_General_Service_TOU_Single_Phase,Secondary School,San Francisco,1,840 kWh,136 kW,0,5235560,$911K,$0.00,$1M,"1,195 kW",0,3332600
General_Service_With_Demand_Meter_(Rate_Code_25),Primary School,Minneapolis,1,0 kWh,0 kW,157300,734304,$50K,$5.86,$0M,91 kW,11584,84034
E-19_Medium_General_Demand_TOU_(Secondary_Voluntary),Supermarket,San Francisco,1,299 kWh,75 kW,1009990,1688340,$424K,$34.72,$0M,575 kW,355810,801105
Schedule_G_-_Secondary,Large Office,Baltimore,1,0 kWh,0 kW,0,7447200,"$1,103K",$0.00,$0M,"2,006 kW",0,2465860
A-6_Small_General_Service_TOU_Single_Phase,Restaurant,San Francisco,1,100 kWh,16 kW,0,642668,$90K,$0.00,$0M,109 kW,0,338559
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Small Hotel,Los Angeles,1,21 kWh,9 kW,202351,632236,$86K,$17.48,$0M,138 kW,29837,180260
GSEDS-1_Secondary_Demand,Restaurant,Helena,1,0 kWh,0 kW,53323.6,230623,$31K,$9.41,$0M,56 kW,3297,53519
3B_General_Power_TOU_(PNM-Owned_Transformer),Primary School,Albuquerque,1,12 kWh,10 kW,347398,613618,$156K,$17.47,$0M,268 kW,87440,239268
BES-Small_Load_Delivery_Class_(Secondary),Large Office,Chicago,1,0 kWh,0 kW,1024650,3877110,$0K,$6.18,$0M,0 kW,0,0
GSEDS-1_Primary_Demand,Retail Store,Helena,1,0 kWh,0 kW,101965,371241,$74K,$7.90,$0M,134 kW,10472.6,125573
GSEDS-1_Primary_Non-Demand,Retail Store,Helena,1,0 kWh,0 kW,0,475650,$87K,$0.00,$0M,158 kW,0,185218
OGS-TOU-NEM,Hospital,LasVegas,1,0 kWh,0 kW,0,4845280,$632K,$0.00,$0M,"1,149 kW",0,1052550
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Warehouse,Boulder,1,0 kWh,0 kW,32395.3,214114,$35K,$4.84,$0M,64 kW,3029.1,68289
Schedule_LGC_-_Large_Standard_General_Service_City,Large Office,Seattle,1,0 kWh,0 kW,335849,3628290,$0K,$2.08,$0M,0 kW,0,0
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Primary School,New York,1,212 kWh,56 kW,942290,913007,$286K,$41.95,$0M,379 kW,307736,352830
Small_General_Service_Metered_(A10),Strip Mall,Duluth,1,0 kWh,0 kW,0,472395,$76K,$0.00,$0M,139 kW,0,160413
OGS-TOU-NEM,Supermarket,LasVegas,1,0 kWh,0 kW,0,1168430,$145K,$0.00,$0M,263 kW,0,240789
SC-9_-_General_Large_Voluntary_TOD_Service_[NYC],Hospital,New York,1,652 kWh,231 kW,4673850,7538580,"$1,521K",$41.95,$1M,"2,262 kW",1079160,2383470
Large_Light_&_Power_-_Primary_voltage_discount,Restaurant,Minneapolis,1,0 kWh,0 kW,0,190849,$0K,$7.55,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Fast Food,Minneapolis,1,0 kWh,0 kW,0,108636,$0K,$7.55,$0M,0 kW,0,0
BES-Large_Load_Delivery_Class_(Secondary),Restaurant,Chicago,1,0 kWh,0 kW,40709.6,203169,$0K,$6.73,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Supermarket,San Francisco,1,111 kWh,39 kW,471299,2346650,$351K,$16.78,$0M,553 kW,122804,991690
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Outpatient,Atlanta,1,0 kWh,0 kW,0,1236820,$0K,$0.00,$0M,0 kW,0,0
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_A_(Under_2kV),Primary School,Anaheim,1,98 kWh,30 kW,586492,929808,$258K,$17.81,$0M,399 kW,211562,487397
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Primary School,Atlanta,1,0 kWh,0 kW,0,857449,$0K,$0.00,$0M,0 kW,0,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Midrise Apartment,Atlanta,1,0 kWh,0 kW,0,225661,$0K,$0.00,$0M,0 kW,0,0
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Retail Store,San Francisco,1,62 kWh,16 kW,150935,586117,$120K,$16.78,$0M,177 kW,48389,328476
Schedule_TOU-GSD-10_Time_Of_Use_-_General_Service_Demand,Primary School,Atlanta,1,0 kWh,0 kW,358038,640590,$25K,$15.66,$0M,45 kW,16911,29910
OGS-TOU-NEM,Restaurant,LasVegas,1,0 kWh,0 kW,0,210593,$25K,$0.00,$0M,46 kW,0,42324
Schedule_MDB-_Medium_Standard_General_Service_Burien,Medium Office,Seattle,1,0 kWh,0 kW,60768.6,542370,$0K,$2.32,$0M,0 kW,0,0
Schedule_G_-_Secondary,Fast Food,Baltimore,1,0 kWh,0 kW,0,210090,$24K,$0.00,$0M,44 kW,0,59177
Schedule_MDD_-_Medium_Network_General_Service,Large Hotel,Seattle,1,0 kWh,0 kW,217024,1591830,$0K,$4.54,$0M,0 kW,0,0
3B_General_Power_TOU_(PNM-Owned_Transformer),Warehouse,Albuquerque,1,0 kWh,0 kW,17314.1,127228,$33K,$17.47,$0M,59 kW,11767.52,52294.3
Small_General_Service_Metered_(A10),Hospital,Duluth,1,0 kWh,0 kW,0,7678270,$933K,$0.00,$0M,"1,696 kW",0,1954510
GSEDS-1_Primary_Non-Demand,Restaurant,Helena,1,0 kWh,0 kW,0,289214,$36K,$0.00,$0M,66 kW,0,76939
A-10_Medium_General_Demand_Service_TOU_(Secondary_Voltage),Small Office,San Francisco,1,11 kWh,3 kW,27798.1,101643,$22K,$16.78,$0M,32 kW,10163.2,52020.3
BES-Large_Load_Delivery_Class_(Secondary),Small Hotel,Chicago,1,0 kWh,0 kW,106246,462529,$0K,$6.73,$0M,0 kW,0,0
Large_Light_&_Power_-_Primary_voltage_discount,Large Office,Minneapolis,1,0 kWh,0 kW,0,3637210,$0K,$7.55,$0M,0 kW,0,0
GSD-1_(General_Service_Demand),Strip Mall,Miami,1,0 kWh,0 kW,186219,300685,$12K,$10.60,$0M,23 kW,8887,13995
GSEDS-1_Primary_Non-Demand,Supermarket,Helena,1,0 kWh,0 kW,0,1750900,$269K,$0.00,$0M,490 kW,0,576360
BES-Medium_Load_Delivery_Class_(Secondary),Strip Mall,Chicago,1,0 kWh,0 kW,81506.8,308644,$0K,$6.29,$0M,0 kW,0,0
GSEDS-1_Secondary_Non-Demand,Restaurant,Helena,1,0 kWh,0 kW,0,338916,$40K,$0.00,$0M,73 kW,0,97179
Schedule_P,Hospital,Baltimore,1,0 kWh,0 kW,830160,5635050,$38K,$5.31,$0M,69 kW,6104,57850
A-10_Medium_General_Demand_Service_(Secondary_Voltage),Midrise Apartment,San Francisco,1,14 kWh,4 kW,66161,291120,$29K,$16.78,$0M,43 kW,8208.5,74839
E-36_Standard_Price_Plan_for_General_Service,Small Hotel,Phoenix,1,0 kWh,0 kW,86804.4,529627,$62K,$6.76,$0M,112 kW,58.7,112821
SECONDARY_GENERAL_SERVICE_-_SCHEDULE_SG,Medium Office,Boulder,1,11 kWh,9 kW,481085,284311,$10K,$18.90,$0M,3 kW,15225,1456
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Restaurant,Phoenix,1,0 kWh,0 kW,46990.3,264101,$40K,$6.65,$0M,73 kW,3285.5,76788
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Restaurant,Boulder,1,0 kWh,0 kW,28892.4,291469,$37K,$4.84,$0M,67 kW,1506.8,83680
General_Service_(A14),Warehouse,Duluth,1,0 kWh,0 kW,82235.8,135818,$1K,$14.98,$0M,2 kW,404.9,1110
Schedule_MDD_-_Medium_Network_General_Service,Medium Office,Seattle,1,0 kWh,0 kW,118918,632005,$0K,$4.54,$0M,0 kW,0,0
E-36_Standard_Price_Plan_for_General_Service,Restaurant,Phoenix,1,0 kWh,0 kW,36160,234074,$36K,$6.76,$0M,66 kW,2103.5,66115
GSEDS-1_Primary_Non-Demand,Secondary School,Helena,1,0 kWh,0 kW,0,2096260,$197K,$0.00,$0M,359 kW,0,391370
GLSDT-1_(General_Service_Large_Demand_-_Time-Of-Use),Large Hotel,Miami,1,0 kWh,0 kW,817410,1394340,$0K,$11.00,$0M,0 kW,0,0
Schedule_TOU-EO-10_-_Time_Of_Use_-_Energy_Only,Fast Food,Atlanta,1,0 kWh,0 kW,0,146315,$0K,$0.00,$0M,0 kW,0,0
Secondary_Photovoltaic_Time-Of-Use_Service_-_Schedule_SPVTOU,Small Office,Boulder,1,0 kWh,0 kW,10630.9,72090.8,$11K,$4.84,$0M,21 kW,1222.67,22332.5
A-6_Small_General_Service_TOU_Single_Phase,Retail Store,San Francisco,1,197 kWh,32 kW,0,1003760,$185K,$0.00,$0M,229 kW,0,717678
A-6_Small_General_Service_TOU_Single_Phase,Primary School,San Francisco,1,342 kWh,57 kW,0,2226570,$376K,$0.00,$1M,495 kW,0,1386222
A-6_Small_General_Service_TOU_Single_Phase,Small Office,San Francisco,1,25 kWh,4 kW,0,173289,$29K,$0.00,$0M,38 kW,0,111310.7
Time-of-use_-_General_Service_-_Demand_Metered_TOU-GS-3_Option_R_(2kV_to_50kV),Primary School,Anaheim,1,28 kWh,12 kW,363882,1088930,$233K,$11.05,$0M,400 kW,112066,542556
SC-9_-_General_Large_Low_Tension_Service_[NYC],Medium Office,New York,1,0 kWh,0 kW,0,1093940,$152K,$21.82,$0M,277 kW,0,353616
Time_of_Use_General_Service_Demand_Metered_Option_R_GS-2_TOU_R_-_Single_phase,Retail Store,Anaheim,1,42 kWh,12 kW,128808,554336,$120K,$9.97,$0M,189 kW,35268.5,324191
GSEDS-1_Secondary_Non-Demand,Large Office,Helena,1,0 kWh,0 kW,0,6255120,"$1,003K",$0.00,$0M,"1,825 kW",0,2195120
A-1-Small_General_Service-Non-Time_of_Use_Rate_(Single-Phase),Restaurant,San Francisco,1,0 kWh,0 kW,0,594406,$50K,$0.00,$0M,91 kW,0,212308
3B_General_Power_TOU_(PNM-Owned_Transformer),Hospital,Albuquerque,1,81 kWh,64 kW,2129230,4477310,$990K,$17.47,$0M,"1,696 kW",277410,1680060
BES-Small_Load_Delivery_Class_(Secondary),Supermarket,Chicago,1,0 kWh,0 kW,248726,1233140,$19K,$6.18,$0M,35 kW,7352,26130
OLGS-1-TOU_Optional_Large_General_Service_1_Time_of_Use,Hospital,LasVegas,1,0 kWh,0 kW,1156200,4863610,$865K,$12.47,$0M,"1,573 kW",112630,1463900
Primary_Service_A-2_Rate(B)_Time-Of-Use_(TOU),Strip Mall,Los Angeles,1,24 kWh,10 kW,201849,429969,$104K,$17.48,$0M,169 kW,64893,215483
Schedule_MDD_-_Medium_Network_General_Service,Restaurant,Seattle,1,0 kWh,0 kW,24913.5,229333,$0K,$4.54,$0M,0 kW,0,0
LGS-1_-_Large_General_Service,Outpatient,LasVegas,1,0 kWh,0 kW,319348,972084,$149K,$8.57,$0M,271 kW,22469,244608
Time_of_Use_General_Service_Demand_Metered_Option_B_GS-2_TOU_B_Single_Phase,Small Office,Anaheim,1,12 kWh,4 kW,50922.2,65657.3,$24K,$30.87,$0M,34 kW,21308.6,33709
GS-1_General_Service,Fast Food,Fairbanks,1,0 kWh,0 kW,0,288195,$25K,$0.00,$0M,46 kW,0,64865
GSEDS-1_Primary_Non-Demand,Midrise Apartment,Helena,1,0 kWh,0 kW,0,224656,$19K,$0.00,$0M,35 kW,0,40621
Schedule_MDD_-_Medium_Network_General_Service,Primary School,Seattle,1,0 kWh,0 kW,113605,707625,$0K,$4.54,$0M,0 kW,0,0
Schedule_MDB-_Medium_Standard_General_Service_Burien,Outpatient,Seattle,1,0 kWh,0 kW,69748.4,885550,$0K,$2.32,$0M,0 kW,0,0
E-32_STANDARD_PRICE_PLAN_FOR_TIME-OF-USE_GENERAL_SERVICE,Medium Office,Phoenix,1,0 kWh,0 kW,176085,722767,$134K,$6.65,$0M,244 kW,37571,236582
Large_Light_&_Power_-_Primary_voltage_discount,Secondary School,Minneapolis,1,0 kWh,0 kW,0,1441030,$0K,$7.55,$0M,0 kW,0,0
